I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16
15.162149,1200.000000,-412.264496,15.246321,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,106765.000000,0.000000,0.000000,106702.000000,3725.000000
15.156058,1200.000000,-412.102783,15.243425,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,107230.000000,0.000000,0.000000,107167.000000,3742.000000
15.162005,1200.000000,-412.260712,15.240501,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,107946.000000,0.000000,0.000000,107883.000000,3767.000000
15.163049,1200.000000,-412.288361,15.239190,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,108428.000000,0.000000,0.000000,108365.000000,3783.000000
15.155244,1200.000000,-412.081116,15.237906,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,109129.000000,0.000000,0.000000,109066.000000,3808.000000
15.155520,1200.000000,-412.088470,15.237332,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,109597.000000,0.000000,0.000000,109534.000000,3825.000000
15.151052,1200.000000,-411.969818,15.242359,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,110293.000000,0.000000,0.000000,110230.000000,3850.000000
15.148606,1200.000000,-411.904907,15.240557,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,110772.000000,0.000000,0.000000,110709.000000,3866.000000
15.150475,1200.000000,-411.954498,15.245337,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,111478.000000,0.000000,0.000000,111415.000000,3891.000000
15.142903,1200.000000,-411.753448,15.242715,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,111950.000000,0.000000,0.000000,111887.000000,3908.000000
15.149016,1200.000000,-411.915741,15.240065,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,112660.000000,0.000000,0.000000,112597.000000,3932.000000
15.152266,1200.000000,-412.002045,15.244491,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,113122.000000,0.000000,0.000000,113059.000000,3948.000000
15.139462,1200.000000,-411.662079,15.241185,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,113818.000000,0.000000,0.000000,113755.000000,3973.000000
15.149206,1200.000000,-411.920776,15.245310,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,114292.000000,0.000000,0.000000,114229.000000,3989.000000
15.145139,1200.000000,-411.812775,15.240065,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,115476.000000,0.000000,0.000000,115413.000000,4031.000000
15.134989,1200.000000,-411.543243,15.245037,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,116175.000000,0.000000,0.000000,116112.000000,4056.000000
