I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.000000,0.000000,0.000000,215.463882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599.000000,399.000000
0.000000,48.532833,0.000000,215.463882,0.000000,0.000000,0.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.000000,623.000000,414.000000
0.000000,48.333839,0.000000,215.463882,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.000000,659.000000,438.000000
0.000000,48.171001,0.000000,215.463882,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.000000,683.000000,453.000000
0.000000,47.901546,0.000000,215.463882,0.000000,0.000000,0.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.000000,718.000000,477.000000
0.000000,47.686958,0.000000,215.463882,0.000000,0.000000,0.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.000000,741.000000,493.000000
0.000000,47.290630,0.000000,215.463882,0.000000,0.000000,0.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.000000,776.000000,516.000000
0.000000,46.989475,0.000000,215.463882,0.000000,0.000000,0.000000,164.000000,0.000000,131.000000,0.000000,3.000000,0.000000,199.000000,800.000000,528.000000
0.000000,46.470444,0.000000,215.463882,0.000000,0.000000,0.000000,171.000000,0.000000,131.000000,0.000000,3.000000,64.000000,64.000000,836.000000,551.000000
0.000000,46.078838,0.000000,215.463882,0.000000,0.000000,0.000000,171.000000,0.000000,131.000000,0.000000,3.000000,64.000000,64.000000,860.000000,567.000000
0.000000,45.439320,0.000000,215.463882,0.000000,0.000000,0.000000,174.000000,0.000000,131.000000,0.000000,3.000000,64.000000,64.000000,895.000000,591.000000
0.000000,44.961414,0.000000,215.463882,0.000000,0.000000,0.000000,177.000000,0.000000,131.000000,0.000000,3.000000,64.000000,64.000000,919.000000,607.000000
0.000000,44.193489,0.000000,215.463882,0.000000,0.000000,0.000000,180.000000,0.000000,131.000000,0.000000,3.000000,64.000000,65.000000,955.000000,631.000000
0.000000,43.652279,0.000000,215.463882,0.000000,0.000000,0.000000,183.000000,0.000000,131.000000,0.000000,3.000000,64.000000,65.000000,979.000000,647.000000
0.000000,42.789417,0.000000,215.463882,0.000000,0.000000,0.000000,186.000000,0.000000,131.000000,0.000000,3.000000,64.000000,67.000000,1015.000000,670.000000
0.000000,42.194210,0.000000,215.463882,0.000000,0.000000,0.000000,186.000000,0.000000,131.000000,0.000000,3.000000,64.000000,67.000000,1038.000000,686.000000
0.000000,41.264725,0.000000,215.463882,0.000000,0.000000,0.000000,190.000000,0.000000,131.000000,0.000000,3.000000,64.000000,67.000000,1073.000000,709.000000
0.000000,40.585052,0.000000,215.453339,0.000000,0.000000,0.000000,193.000000,0.000000,131.000000,0.000000,3.000000,64.000000,67.000000,1097.000000,725.000000
0.000000,39.518185,0.000000,215.461594,0.000000,0.000000,0.000000,196.000000,0.000000,131.000000,0.000000,3.000000,64.000000,67.000000,1132.000000,749.000000
0.000000,38.786602,0.000000,215.445480,0.000000,0.000000,0.000000,200.000000,0.000000,131.000000,0.000000,3.000000,64.000000,67.000000,1156.000000,765.000000
