I0,I1,I2,I3,I4,I5,I6,I7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000248,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000491,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000572,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000619,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000721,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000905,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.001215,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.001598,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.001985,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.002485,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.003031,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.003616,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.004063,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.004325,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.004644,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.004943,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.005418,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.006191,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.007174,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.008192,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.009302,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.010508,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.011838,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.013234,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.014581,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.015931,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.017466,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.018920,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.020369,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.021872,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.023485,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.025175,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.026885,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.028646,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.030491,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.032328,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.034168,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.035952,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.037655,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.039458,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.041294,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.043194,0.000000,0.000000,0.000000,0.000000,0.000000
